ACCIDENT_NO,LATITUDE,LONGITUDE,LOCATION
T20220012520,-37.688511,144.926352,HUME
T20220012530,-38.002747,145.24536,CASEY
T20220012516,-37.804991,144.99213,YARRA
T20220012513,-37.569091,144.720923,HUME
T20220012476,-37.645677,144.929994,HUME
T20220012670,-37.921757,145.033817,GLEN EIRA
T20220012965,-37.77052,144.905208,MOONEE VALLEY
T20220012478,-37.612669,144.946641,HUME
T20220012444,-37.859373,144.777839,HOBSONS BAY
T20220012523,-37.821779,144.965793,MELBOURNE
T20220012482,-37.828781,144.815797,WYNDHAM
T20220012465,-37.771561,144.961352,MERRI-BEK
T20220012460,-37.808663,144.807919,BRIMBANK
T20220012484,-37.780931,145.316056,YARRA RANGES
T20220013383,-38.098003,145.283008,CASEY
T20220012448,-38.24402,145.969385,BAW BAW
T20220013375,-38.111663,145.141843,FRANKSTON
T20220014928,-37.827592,144.99759,YARRA
T20220012494,-37.821935,145.045143,BOROONDARA
T20220012497,-37.785717,144.856486,MARIBYRNONG
T20220012498,-38.150628,144.352185,GREATER GEELONG
T20220012524,-37.875358,145.042147,STONNINGTON
T20220012501,-37.848345,144.993896,STONNINGTON
T20220012502,-37.751314,144.832983,BRIMBANK
T20220012505,-36.740881,142.204307,HORSHAM
T20220012506,-38.174524,146.259858,LATROBE
T20220012509,-38.180988,144.466024,GREATER GEELONG
T20220012510,-37.686763,145.027485,WHITTLESEA
T20220012511,-37.964954,145.172793,GREATER DANDENONG
T20220012533,-36.271197,144.56732,CAMPASPE
T20220012446,-37.689783,144.958027,HUME
T20220013346,-37.494453,143.973873,MOORABOOL
T20220012517,-37.780025,145.364294,YARRA RANGES
T20220014004,-37.91725,145.028597,GLEN EIRA
T20220012920,-38.171704,145.134165,FRANKSTON
T20220012641,-38.135462,145.855771,BAW BAW
T20220012561,-37.853266,144.98175,PORT PHILLIP
T20220012562,-35.476666,142.996005,BULOKE
T20220012663,-38.170739,144.384118,GREATER GEELONG
T20220012568,-37.765153,144.954501,MERRI-BEK
T20220012952,-38.310468,145.193536,MORNINGTON PENINSULA
T20220012540,-38.077647,145.239313,FRANKSTON
T20220012689,-38.428372,145.971818,SOUTH GIPPSLAND
T20220012695,-37.092044,145.104862,MITCHELL
T20220012570,-37.85843,144.704893,WYNDHAM
T20220012571,-37.725752,144.65127,MELTON
T20220012573,-38.194226,146.525577,LATROBE
T20220012574,-38.198016,146.542699,LATROBE
T20220012871,-37.894091,144.774158,WYNDHAM
T20220012829,-37.785288,144.82735,BRIMBANK
T20220012783,-38.185221,145.938426,BAW BAW
T20220012773,-37.843589,145.041268,BOROONDARA
T20220012584,-37.835221,144.971103,PORT PHILLIP
T20220012609,-38.288601,143.839295,COLAC OTWAY
T20220012586,-37.849919,144.875983,HOBSONS BAY
T20220012587,-37.747032,144.823307,BRIMBANK
T20220012589,-36.119478,146.896301,WODONGA
T20220012531,-38.156376,144.385365,GREATER GEELONG
T20220012548,-38.299897,142.026813,MOYNE
T20220013951,-38.174951,145.098751,MORNINGTON PENINSULA
T20220012897,-38.219587,146.416562,LATROBE
T20220012595,-37.810127,144.969656,MELBOURNE
T20220012597,-38.077853,144.333816,GREATER GEELONG
T20220012602,-37.917002,145.170407,MONASH
T20220012605,-37.963275,145.074922,KINGSTON
T20220013083,-37.824885,144.992335,YARRA
T20220012537,-37.738977,142.0162,SOUTHERN GRAMPIANS
T20220012610,-37.922232,145.139459,MONASH
T20220012611,-37.956136,145.137534,GREATER DANDENONG
T20220012613,-37.646154,145.09399,WHITTLESEA
T20220012559,-37.810629,144.956101,MELBOURNE
T20220012560,-37.68118,144.904961,HUME
T20220012690,-37.752698,144.936126,MERRI-BEK
T20220012694,-37.684418,144.883103,HUME
T20220012630,-37.666607,144.948293,HUME
T20220012631,-37.783307,145.017403,DAREBIN
T20220012634,-37.940671,145.097929,KINGSTON
T20220014526,-38.628161,145.730756,BASS COAST
T20220012635,-37.785666,144.981811,YARRA
T20220013460,-38.117744,145.319267,CASEY
T20220014792,-38.092989,145.293773,CASEY
T20220013326,-37.803831,144.621738,WYNDHAM
T20220012644,-38.20873,146.127402,BAW BAW
T20220012646,-37.898222,144.627627,WYNDHAM
T20220013655,-37.957676,145.225797,GREATER DANDENONG
T20220012647,-37.852119,145.132353,WHITEHORSE
T20220012798,-37.742801,144.979851,DAREBIN
T20220012804,-37.801693,145.126872,WHITEHORSE
T20220012659,-37.374746,144.32512,HEPBURN
T20220012618,-37.605238,144.883384,HUME
T20220012664,-37.831393,144.825068,HOBSONS BAY
T20220012669,-37.879279,145.084682,STONNINGTON
T20230010940,-37.764881,145.091023,MANNINGHAM
T20220012621,-37.688363,144.946164,HUME
T20220012673,-37.925009,144.994664,BAYSIDE
T20220014432,-37.700827,144.79771,BRIMBANK
T20220012754,-37.779089,144.848005,MARIBYRNONG
T20220012675,-37.805477,144.986265,YARRA
T20220012677,-38.031314,145.268298,CASEY
T20220012678,-37.797146,145.290455,MAROONDAH
T20220012681,-37.991621,145.231777,CASEY
T20220012682,-37.832417,145.429386,YARRA RANGES
T20220012684,-37.886571,144.606632,WYNDHAM
T20220012687,-37.867432,145.279018,KNOX
T20220013046,-37.598277,144.935141,HUME
T20220012688,-37.94818,145.045334,KINGSTON
T20220012623,-37.748452,144.86137,MOONEE VALLEY
T20220012636,-37.318812,145.907906,MURRINDINDI
T20220012709,-38.318984,143.064228,CORANGAMITE
T20220012710,-37.707247,144.88589,HUME
T20220012714,-37.785336,145.063528,BOROONDARA
T20220012719,-37.340784,144.494135,MACEDON RANGES
T20220012720,-37.85954,145.093988,BOROONDARA
T20220012722,-36.734643,144.257925,GREATER BENDIGO
T20220012726,-37.706784,144.81834,BRIMBANK
T20220012730,-37.609075,144.711892,HUME
T20220012733,-38.373492,142.490402,WARRNAMBOOL
T20220012736,-37.915527,145.105428,MONASH
T20220012738,-36.538009,142.600805,YARRIAMBIACK
T20220012739,-38.118886,144.655973,GREATER GEELONG
T20220012742,-37.539892,143.800816,BALLARAT
T20220012744,-37.948087,145.036295,BAYSIDE
T20220012749,-37.781752,144.870395,MARIBYRNONG
T20220012750,-37.503145,143.809353,BALLARAT
T20220012752,-38.195806,145.160804,MORNINGTON PENINSULA
T20220012753,-37.924386,145.285161,KNOX
T20220012909,-37.910729,145.095667,MONASH
T20220012962,-37.762802,144.992581,DAREBIN
T20220013556,-37.832541,145.218153,MAROONDAH
T20220012699,-37.845442,144.98317,MELBOURNE
T20220012701,-38.386171,143.634968,COLAC OTWAY
T20220012702,-37.798504,144.980021,YARRA
T20220012706,-36.801,144.346269,GREATER BENDIGO
T20220012907,-35.345624,143.523831,SWAN HILL
T20220012827,-37.810956,144.947823,MELBOURNE
T20220012828,-37.563131,143.848554,BALLARAT
T20220012937,-38.606317,145.588583,BASS COAST
T20220015158,-38.034642,145.211366,GREATER DANDENONG
T20220012831,-38.179498,144.363009,GREATER GEELONG
T20220012834,-36.774942,142.275359,HORSHAM
T20220012836,-34.180897,142.157655,MILDURA
T20220012837,-37.621983,144.948095,HUME
T20220012841,-37.71059,145.117614,BANYULE
T20220012780,-38.472111,145.949013,SOUTH GIPPSLAND
T20220012847,-37.83635,144.97321,PORT PHILLIP
T20220012850,-37.876418,145.069061,STONNINGTON
T20220012782,-38.579932,145.57428,BASS COAST
T20220012791,-37.961657,145.188383,GREATER DANDENONG
T20220014060,-37.756337,144.907253,MOONEE VALLEY
T20220012765,-37.825473,145.007229,YARRA
T20220012766,-38.386343,142.58001,MOYNE
T20220014252,-36.526578,146.038786,BENALLA
T20220012802,-37.767026,145.249988,MAROONDAH
T20220013082,-37.790947,144.990501,YARRA
T20220012776,-38.067972,145.145115,KINGSTON
T20220013089,-37.795587,144.789834,BRIMBANK
T20220012813,-37.816597,145.008848,YARRA
T20220012815,-37.820574,144.835467,HOBSONS BAY
T20220012818,-38.321832,146.328024,LATROBE
T20220019005,-38.187879,145.206765,FRANKSTON
T20220012820,-37.706238,144.601916,MELTON
T20220013139,-38.101657,144.348173,GREATER GEELONG
T20220013054,-38.089557,145.33306,CASEY
T20220016132,-37.644939,144.929778,HUME
T20220013017,-37.759095,145.129921,MANNINGHAM
T20220012822,-38.078634,145.327133,CASEY
T20220015213,-38.160516,144.354655,GREATER GEELONG
T20220013045,-38.076276,144.369173,GREATER GEELONG
T20220029800,-37.995648,145.25316,CASEY
T20220013990,-37.81763,144.999345,YARRA
T20220014727,-38.100474,145.292328,CASEY
T20220015725,-37.828741,145.034213,BOROONDARA
T20220013095,-37.87881,144.708232,WYNDHAM
T20220014590,-37.961209,145.187889,GREATER DANDENONG
T20220014864,-37.540793,144.948779,HUME
T20220012865,-37.785721,144.9695,MELBOURNE
T20220012868,-37.845683,144.984992,MELBOURNE
T20220012869,-37.834728,144.987269,MELBOURNE
T20220013248,-37.903233,145.034832,GLEN EIRA
T20220012876,-37.813004,144.959789,MELBOURNE
T20220012877,-36.364683,145.461965,GREATER SHEPPARTON
T20220012879,-37.599587,144.945752,HUME
T20220012881,-38.140854,144.32891,GREATER GEELONG
T20220012884,-37.970326,145.217301,GREATER DANDENONG
T20220012886,-37.788881,145.102353,BOROONDARA
T20220012893,-37.955595,145.226395,GREATER DANDENONG
T20220012895,-37.799652,144.955034,MELBOURNE
T20220015414,-37.806257,145.158649,WHITEHORSE
T20220012898,-37.81304,145.227349,MAROONDAH
T20220013252,-37.747327,145.021775,DAREBIN
T20220012903,-35.348346,143.562071,SWAN HILL
T20220012913,-37.686164,145.063098,WHITTLESEA
T20220012914,-37.716484,144.599971,MELTON
T20220012915,-37.646676,145.354188,YARRA RANGES
T20220012916,-38.039145,145.108861,KINGSTON
T20220012918,-37.776012,147.598532,EAST GIPPSLAND
T20220012919,-38.163957,144.385405,GREATER GEELONG
T20220013410,-38.03097,145.287771,CASEY
T20220012924,-37.640835,144.928647,HUME
T20220012927,-38.126927,144.339253,GREATER GEELONG
T20220012929,-37.840551,144.760055,WYNDHAM
T20220012930,-37.924756,145.157236,MONASH
T20220012932,-37.976637,147.026677,WELLINGTON
T20220012934,-36.633901,147.11232,ALPINE
T20220012935,-37.798992,145.289955,MAROONDAH
T20220012936,-37.623006,145.028587,WHITTLESEA
T20220012939,-37.694761,144.902297,MERRI-BEK
T20220014649,-37.56079,143.856476,BALLARAT
T20220012960,-37.755513,145.010521,DAREBIN
T20220012859,-37.78688,145.310677,YARRA RANGES
T20220013343,-37.832004,145.00636,STONNINGTON
T20220013179,-38.100474,145.292328,CASEY
T20220013853,-37.687081,145.135419,BANYULE
T20220022233,-38.125378,145.13426,FRANKSTON
T20230013247,-38.373615,144.830371,MORNINGTON PENINSULA
T20220012958,-37.681064,144.568901,MELTON
T20220014258,-37.782284,145.099026,BOROONDARA
T20220012988,-37.960768,145.054315,KINGSTON
T20220014488,-37.726869,144.656937,MELTON
T20220012992,-37.998073,145.277713,CASEY
T20220012993,-36.118333,146.874016,WODONGA
T20220012995,-38.13551,145.124289,FRANKSTON
T20220013000,-34.199518,142.135041,MILDURA
T20220013001,-36.718605,144.293527,GREATER BENDIGO
T20220013003,-37.782187,144.918983,MOONEE VALLEY
T20220013006,-37.932811,145.156153,GREATER DANDENONG
T20220013008,-38.029527,145.332269,CASEY
T20220013009,-37.672098,144.966769,HUME
T20220014134,-37.754514,145.128257,MANNINGHAM
T20220014133,-37.97647,145.257743,CASEY
T20220013014,-37.717678,144.87272,BRIMBANK
T20220013015,-37.746192,145.012083,DAREBIN
T20220012971,-38.158909,146.734038,WELLINGTON
T20220013035,-37.807294,144.968846,MELBOURNE
T20220013024,-37.812434,144.959529,MELBOURNE
T20220014233,-38.092989,145.293773,CASEY
T20220013027,-37.921234,145.356571,YARRA RANGES
T20220012961,-38.098018,145.292802,CASEY
T20220012951,-37.825371,144.956989,MELBOURNE
T20220012949,-36.148605,146.873856,WODONGA
T20220012948,-37.683854,144.913839,HUME
T20220012945,-37.575671,144.681824,HUME
T20220012944,-37.97219,145.023858,BAYSIDE
T20220013977,-37.753427,144.78512,BRIMBANK
T20220013087,-37.85887,145.00137,STONNINGTON
T20220012980,-37.670178,145.015719,WHITTLESEA
T20220013422,-38.058011,145.397908,CARDINIA
T20220013206,-37.818881,145.269091,MAROONDAH
T20220012974,-37.838625,145.271083,KNOX
T20220014234,-37.752905,145.25587,MANNINGHAM
T20220012978,-37.751373,145.370483,YARRA RANGES
T20220012954,-37.933125,145.155867,GREATER DANDENONG
T20220013136,-37.540147,145.389979,YARRA RANGES
T20220013685,-37.886313,145.038406,GLEN EIRA
T20220013476,-38.019139,145.236517,GREATER DANDENONG
T20220013503,-37.797742,144.972905,MELBOURNE
T20220013514,-37.598311,144.935353,HUME
T20220014048,-37.789971,144.831369,BRIMBANK
T20220014157,-37.792552,144.958455,MELBOURNE
T20220012987,-37.884743,145.0043,GLEN EIRA
T20220013020,-37.841138,144.939993,PORT PHILLIP
T20220021285,-37.981648,145.221405,GREATER DANDENONG
T20220013025,-37.886032,145.075382,STONNINGTON
T20220013085,-38.603703,146.018482,SOUTH GIPPSLAND
T20220013028,-37.593838,145.090676,WHITTLESEA
T20220014888,-37.83017,144.949593,PORT PHILLIP
T20220013034,-38.666288,146.172996,SOUTH GIPPSLAND
T20220013042,-37.908384,145.076183,GLEN EIRA
T20220013044,-37.864412,144.984192,PORT PHILLIP
T20220013033,-38.248607,146.172204,BAW BAW
T20220013151,-37.725701,144.890745,MOONEE VALLEY
T20220014911,-38.170656,145.138564,FRANKSTON
T20220013747,-37.720913,144.940274,MERRI-BEK
T20220013059,-37.730872,144.875488,MOONEE VALLEY
T20220014974,-38.052518,145.144338,KINGSTON
T20220013220,-37.847395,144.991346,STONNINGTON
T20220013063,-37.876761,145.205867,KNOX
T20220013181,-37.758547,144.974549,MERRI-BEK
T20220013065,-37.896363,145.233006,KNOX
T20220013668,-37.783263,145.124218,MANNINGHAM
T20220013521,-37.88769,145.286306,KNOX
T20220013012,-37.721033,145.021305,DAREBIN
T20220014512,-37.731382,145.005149,DAREBIN
T20220017183,-37.757895,145.058484,BANYULE
T20220013233,-37.768891,145.044945,BANYULE
T20220013013,-37.788176,144.807923,BRIMBANK
T20220013048,-37.598889,144.940502,HUME
T20220013104,-38.113604,147.065899,WELLINGTON
T20220013107,-37.804243,145.101326,BOROONDARA
T20220014916,-38.133498,145.324265,CASEY
T20220013247,-38.087094,145.278582,CASEY
T20220013113,-37.681971,145.013541,WHITTLESEA
T20220013116,-36.537069,145.981037,BENALLA
T20220013909,-37.860397,145.001114,PORT PHILLIP
T20220013117,-37.763414,144.973151,MERRI-BEK
T20220013121,-38.098802,147.071581,WELLINGTON
T20220013122,-37.746966,144.822758,BRIMBANK
T20220013124,-37.602597,144.962435,WHITTLESEA
T20220013128,-38.155115,145.165515,FRANKSTON
T20220013129,-37.988597,145.214653,GREATER DANDENONG
T20220013249,-37.703168,145.089827,BANYULE
T20220013133,-37.691692,144.960978,HUME
T20220013495,-37.861436,144.974565,PORT PHILLIP
T20220013135,-37.777549,144.988802,YARRA
T20220013137,-38.537153,143.97432,SURF COAST
T20220013141,-37.883062,145.284441,KNOX
T20220013536,-37.966094,145.182414,GREATER DANDENONG
T20220013147,-37.775692,144.948794,MERRI-BEK
T20220014322,-38.023163,145.302418,CASEY
T20220013150,-37.800305,144.653795,WYNDHAM
T20220013152,-36.748994,144.300568,GREATER BENDIGO
T20220013158,-37.733624,144.961413,MERRI-BEK
T20220014504,-37.825989,144.88096,HOBSONS BAY
T20220015889,-37.691267,144.968239,HUME
T20240001125,-37.705076,144.983403,DAREBIN
T20220022895,-37.698091,145.060071,BANYULE
T20220013167,-37.8456,145.044953,BOROONDARA
T20220013173,-37.827794,144.924765,MELBOURNE
T20220014216,-37.850078,144.845048,HOBSONS BAY
T20220016699,-37.726125,144.951617,MERRI-BEK
T20220016770,-37.83309,144.967278,PORT PHILLIP
T20220017136,-37.829198,144.920932,MELBOURNE
T20220013088,-37.708956,144.937972,MERRI-BEK
T20220013091,-38.078148,145.24408,CASEY
T20220013092,-37.83082,145.014994,YARRA
T20220013094,-37.972521,145.23626,CASEY
T20220013097,-37.824532,147.626033,EAST GIPPSLAND
T20220013101,-38.105075,145.168164,FRANKSTON
T20220013102,-38.017479,145.353713,CASEY
T20220013103,-37.73082,145.516043,YARRA RANGES
T20220013188,-37.299272,142.977261,ARARAT
T20220013429,-37.156335,145.989496,MANSFIELD
T20220013812,-37.741015,142.023831,SOUTHERN GRAMPIANS
T20220013280,-36.770411,144.565609,GREATER BENDIGO
T20220014537,-37.886731,145.145689,MONASH
T20220013166,-37.374495,144.968857,MITCHELL
T20220013907,-38.159305,145.141874,FRANKSTON
T20220013972,-38.050483,145.355836,CASEY
T20220013847,-38.376374,142.460832,WARRNAMBOOL
T20220013175,-37.733728,144.9098,MOONEE VALLEY
T20220013210,-37.52427,142.231879,SOUTHERN GRAMPIANS
T20220013224,-37.894395,145.141704,MONASH
T20220013190,-37.893596,145.308764,KNOX
T20220021588,-37.741904,145.057134,BANYULE
T20220013184,-37.634844,144.999737,WHITTLESEA
T20220013398,-37.805769,144.954994,MELBOURNE
T20220013399,-38.164128,145.932861,BAW BAW
T20220013739,-37.38225,147.288159,WELLINGTON
T20220013193,-37.823379,144.978572,MELBOURNE
T20220013194,-37.821968,145.123086,WHITEHORSE
T20220013197,-37.802435,144.80537,BRIMBANK
T20220013198,-37.833472,144.911481,MELBOURNE
T20220013200,-35.922147,145.647909,MOIRA
T20220013207,-37.794422,145.281755,MAROONDAH
T20220013208,-38.272092,145.189962,MORNINGTON PENINSULA
T20220013212,-34.260627,142.18031,MILDURA
T20220013214,-37.717435,144.945369,MERRI-BEK
T20220013217,-38.66547,146.352146,SOUTH GIPPSLAND
T20220013223,-37.84859,145.158626,WHITEHORSE
T20220013225,-38.22943,145.044793,MORNINGTON PENINSULA
T20220013227,-37.64291,145.058134,WHITTLESEA
T20220013230,-38.159563,145.963256,BAW BAW
T20220013231,-38.439309,143.826205,COLAC OTWAY
T20220013235,-37.858898,145.001583,STONNINGTON
T20220013241,-38.109088,144.339352,GREATER GEELONG
T20220013256,-38.028953,145.327992,CASEY
T20220013267,-37.231675,146.440545,MANSFIELD
T20230023508,-37.999462,144.49753,GREATER GEELONG
T20220013324,-37.803981,144.897408,MARIBYRNONG
T20220014034,-37.903704,145.329236,YARRA RANGES
T20220014672,-37.831923,145.136051,WHITEHORSE
T20220013290,-37.928028,145.233155,KNOX
T20220013325,-37.796893,145.359676,YARRA RANGES
T20220015019,-37.624907,144.650074,MELTON
T20220013377,-38.122024,145.143686,FRANKSTON
T20220013272,-38.302848,144.340894,SURF COAST
T20220014205,-38.184331,145.4788,CARDINIA
T20220013381,-37.791207,144.919786,MELBOURNE
T20220013273,-36.765994,144.278167,GREATER BENDIGO
T20220013274,-37.020635,145.960102,MANSFIELD
T20220013275,-37.852821,144.996371,STONNINGTON
T20220013276,-37.775089,144.908054,MOONEE VALLEY
T20220015314,-38.077204,145.493446,CARDINIA
T20230003731,-36.762546,144.273879,GREATER BENDIGO
T20220013394,-37.865706,145.224974,KNOX
T20220013279,-38.381875,142.48801,WARRNAMBOOL
T20220013961,-37.32509,144.956916,MITCHELL
T20220013281,-37.990773,145.214663,GREATER DANDENONG
T20220013282,-37.879525,144.701531,WYNDHAM
T20220013510,-38.5477,143.771033,COLAC OTWAY
T20220013285,-37.445542,143.929494,HEPBURN
T20220014070,-36.297084,142.02683,HINDMARSH
T20220013287,-37.790174,145.025968,BOROONDARA
T20220013238,-37.170003,143.70182,CENTRAL GOLDFIELDS
T20220015116,-37.875631,144.716276,WYNDHAM
T20220013775,-37.68981,144.926097,HUME
T20220013242,-37.547683,143.887359,BALLARAT
T20220013243,-36.79497,144.245696,GREATER BENDIGO
T20220013294,-37.650526,145.076093,WHITTLESEA
T20220013251,-38.074141,145.271456,CASEY
T20220013253,-37.788333,145.104841,MANNINGHAM
T20220013255,-38.055976,145.320275,CASEY
T20220014014,-36.140464,144.831672,CAMPASPE
T20220013257,-37.41556,144.971982,MITCHELL
T20220013264,-38.360899,144.889682,MORNINGTON PENINSULA
T20220013266,-37.729642,145.075971,BANYULE
T20220013327,-36.807125,146.962974,ALPINE
T20220013296,-37.854212,145.279836,KNOX
T20220013288,-38.094843,144.009778,GOLDEN PLAINS
T20220013347,-37.753167,144.945766,MERRI-BEK
T20220013297,-38.07321,145.438002,CARDINIA
T20220013298,-38.079733,145.7454,CARDINIA
T20220013299,-37.748305,144.912587,MOONEE VALLEY
T20220017794,-37.468365,146.729126,WELLINGTON
T20220013368,-38.595826,143.713957,COLAC OTWAY
T20220013369,-36.832945,144.239732,GREATER BENDIGO
T20220013371,-37.982812,145.211878,GREATER DANDENONG
T20220013333,-37.800412,145.152412,WHITEHORSE
T20220013374,-34.189481,142.157079,MILDURA
T20220013379,-37.828537,147.534692,EAST GIPPSLAND
T20220013455,-35.985569,144.924826,MOIRA
T20220013361,-37.769459,145.23038,MANNINGHAM
T20220014907,-38.064106,145.507194,CARDINIA
T20220013957,-37.961866,145.147905,GREATER DANDENONG
T20220015274,-37.32509,144.956916,MITCHELL
T20220013392,-38.284742,145.547034,CARDINIA
T20220013345,-38.211931,145.468439,CARDINIA
T20220013323,-37.807243,144.8903,MARIBYRNONG
T20220013322,-37.780078,144.828212,BRIMBANK
T20220013319,-37.090421,143.474385,PYRENEES
T20220013535,-37.798959,144.984271,YARRA
T20220013407,-37.368318,144.636542,MACEDON RANGES
T20220013332,-38.354606,144.925128,MORNINGTON PENINSULA
T20220013330,-38.471695,145.542598,BASS COAST
T20220014740,-38.102153,145.141356,FRANKSTON
T20220015533,-37.82527,144.883242,HOBSONS BAY
T20220013318,-37.78876,144.936137,MELBOURNE
T20220014023,-38.618444,146.574536,WELLINGTON
T20220014079,-37.796823,144.211612,MOORABOOL
T20220018896,-36.802957,144.242235,GREATER BENDIGO
T20220013317,-37.923128,145.195486,MONASH
T20220013316,-37.97301,145.238434,CASEY
T20220013315,-37.856064,144.983246,PORT PHILLIP
T20220013603,-38.253517,144.375734,SURF COAST
T20220013373,-36.637365,144.525367,GREATER BENDIGO
T20220013306,-37.826782,144.959113,MELBOURNE
T20220013629,-38.097881,145.331433,CASEY
T20220013348,-38.09699,144.334185,GREATER GEELONG
T20220013349,-37.640489,145.026563,WHITTLESEA
T20220013354,-37.816371,144.955721,MELBOURNE
T20220013362,-37.785666,144.981811,YARRA
T20220013364,-37.778421,144.875771,MARIBYRNONG
T20220013438,-37.696804,144.778204,BRIMBANK
T20220013935,-38.181803,144.347675,GREATER GEELONG
T20220013929,-37.924402,145.120687,MONASH
T20220013490,-36.351397,146.333725,WANGARATTA
T20220013508,-37.849619,145.108923,WHITEHORSE
T20220013382,-38.082619,144.359988,GREATER GEELONG
T20220016294,-38.09812,147.065134,WELLINGTON
T20220013387,-37.877059,145.128798,MONASH
T20220013388,-38.06838,145.120404,KINGSTON
T20220013389,-37.890207,144.625448,WYNDHAM
T20220013393,-38.280638,146.412111,LATROBE
T20220013400,-37.893017,147.685193,EAST GIPPSLAND
T20220013404,-35.911315,141.15064,WEST WIMMERA
T20220013405,-37.793779,145.015187,BOROONDARA
T20220013406,-34.259928,142.161922,MILDURA
T20220013411,-37.8214,144.966934,MELBOURNE
T20220014354,-37.697535,145.091569,BANYULE
T20220013821,-37.77394,145.026023,DAREBIN
T20220013418,-37.698487,144.558766,MELTON
T20220013427,-38.028345,145.323789,CASEY
T20220013428,-36.437082,146.250774,WANGARATTA
T20220013433,-37.781671,145.155836,MANNINGHAM
T20220013436,-37.768544,144.76848,BRIMBANK
T20230006961,-37.854642,144.965457,PORT PHILLIP
T20220013437,-38.101293,145.27852,CASEY
T20220013449,-36.598463,143.220997,NORTHERN GRAMPIANS
T20220013440,-37.825776,144.823774,HOBSONS BAY
T20220013442,-37.571527,143.870781,BALLARAT
T20220015145,-38.360421,144.909023,MORNINGTON PENINSULA
T20220013479,-37.06229,143.24889,PYRENEES
T20220013548,-37.817351,145.319644,YARRA RANGES
T20220018710,-37.68635,144.567788,MELTON
T20220013916,-38.029647,145.277652,CASEY
T20220013910,-37.957159,145.0494,KINGSTON
T20220013687,-37.759808,144.895589,MOONEE VALLEY
T20220013511,-37.819504,145.008292,YARRA
T20220013671,-37.903621,145.161389,MONASH
T20220013509,-37.793291,145.317507,YARRA RANGES
T20220013880,-37.867972,144.98727,PORT PHILLIP
T20220013507,-37.814821,145.213176,WHITEHORSE
T20220013501,-36.920013,144.706769,GREATER BENDIGO
T20220013488,-37.883255,145.279578,KNOX
T20220013517,-37.651394,144.423225,MOORABOOL
T20220013543,-37.792021,145.168815,MANNINGHAM
T20220013485,-36.026169,146.622674,INDIGO
T20220013483,-37.987675,145.117556,KINGSTON
T20220013482,-38.162542,145.133374,FRANKSTON
T20220013481,-37.933148,145.034424,BAYSIDE
T20220014065,-38.153243,144.351528,GREATER GEELONG
T20220013473,-37.898589,144.738972,WYNDHAM
T20220013524,-38.201462,145.22273,CASEY
T20220014606,-37.830284,145.015409,YARRA
T20220013662,-37.837507,145.111383,WHITEHORSE
T20220013471,-38.104291,144.332779,GREATER GEELONG
T20220013518,-37.961178,145.36114,YARRA RANGES
T20220013464,-36.780375,144.36813,GREATER BENDIGO
T20220013523,-37.828834,144.963106,PORT PHILLIP
T20220013454,-37.827016,144.963411,MELBOURNE
T20220013463,-37.799444,144.861209,MARIBYRNONG
T20220013462,-38.259975,145.155118,MORNINGTON PENINSULA
T20220013519,-37.88346,145.370564,YARRA RANGES
T20220013642,-38.218223,146.475374,LATROBE
T20220013533,-38.113098,145.282783,CASEY
T20220013530,-38.184514,144.419053,GREATER GEELONG
T20220013584,-37.771714,144.946881,MERRI-BEK
T20220013587,-37.856135,144.590282,WYNDHAM
T20220013602,-37.849167,144.951463,PORT PHILLIP
T20220013489,-37.895095,145.087807,MONASH
T20220013527,-38.345043,142.795035,MOYNE
T20220013513,-37.454813,145.727095,MURRINDINDI
T20220013616,-37.832471,144.676151,WYNDHAM
T20220025960,-37.720199,144.840002,BRIMBANK
T20220013883,-37.905366,145.043966,GLEN EIRA
T20220014018,-37.738812,145.004077,DAREBIN
T20220013619,-37.814569,145.269331,MAROONDAH
T20220014253,-37.586996,145.103258,WHITTLESEA
T20220013622,-37.87566,145.039593,GLEN EIRA
T20220013624,-38.147414,144.352626,GREATER GEELONG
T20220014427,-37.652503,144.952581,HUME
T20220018991,-38.077185,145.434589,CARDINIA
T20220013666,-38.018502,145.214549,GREATER DANDENONG
T20220013940,-37.991413,145.210204,GREATER DANDENONG
T20220013552,-37.527867,143.848623,BALLARAT
T20220013604,-36.792334,144.338492,GREATER BENDIGO
T20220013605,-38.026335,145.306611,CASEY
T20220018314,-38.054973,145.38187,CARDINIA
T20220016379,-38.098963,147.072851,WELLINGTON
T20220013608,-37.816296,145.193728,WHITEHORSE
T20220013572,-37.776922,145.018264,DAREBIN
T20220013549,-37.811413,145.239207,MAROONDAH
T20220013611,-37.674183,145.014986,WHITTLESEA
T20220013554,-37.795836,145.143505,MANNINGHAM
T20220013583,-37.849426,145.109012,WHITEHORSE
T20220013571,-37.923628,145.065619,GLEN EIRA
T20220013634,-37.842839,145.054524,BOROONDARA
T20220015176,-38.011291,145.283617,CASEY
T20220013631,-37.791183,144.8895,MARIBYRNONG
T20220013635,-38.003372,145.249107,GREATER DANDENONG
T20220013576,-37.663693,144.535198,MELTON
T20220013630,-37.706308,144.928648,MERRI-BEK
T20220013555,-37.836563,145.517887,YARRA RANGES
T20220013545,-37.678056,145.069561,WHITTLESEA
T20220013621,-37.707125,144.886028,HUME
T20220013557,-37.869675,144.988115,PORT PHILLIP
T20220013588,-37.666828,144.942261,HUME
T20220015027,-37.882824,145.390516,YARRA RANGES
T20220013592,-37.857785,145.230085,KNOX
