ACCIDENT_NO,LATITUDE,LONGITUDE,LOCATION
T20220000273,-37.560567,143.877107,BALLARAT
T20220000276,-37.575685,144.728727,HUME
T20220000279,-37.856755,145.183669,WHITEHORSE
T20220000280,-38.373769,142.492353,WARRNAMBOOL
T20220000282,-37.712783,144.562814,MELTON
T20220000283,-37.871533,145.060393,STONNINGTON
T20220000308,-36.349768,146.306022,WANGARATTA
T20220000299,-37.438312,145.271475,MURRINDINDI
T20220000296,-37.805065,145.288774,MAROONDAH
T20220001744,-38.039764,147.018651,WELLINGTON
T20220000295,-37.642866,145.020788,WHITTLESEA
T20220000294,-37.475169,144.148891,MOORABOOL
T20220000253,-37.742857,142.096245,SOUTHERN GRAMPIANS
T20220013574,-37.785475,144.994797,YARRA
T20220000254,-37.731667,144.991144,DAREBIN
T20220000304,-38.105159,147.068189,WELLINGTON
T20220000291,-34.272897,142.185125,MILDURA
T20220000257,-37.660739,144.92016,HUME
T20220000290,-37.735564,145.059858,BANYULE
T20220000247,-38.475282,145.946429,SOUTH GIPPSLAND
T20220000263,-37.687823,144.562646,MELTON
T20220000250,-37.752406,145.174357,MANNINGHAM
T20220000241,-37.971259,146.137818,BAW BAW
T20220000320,-37.355719,144.098417,HEPBURN
T20220000347,-37.957161,145.04941,KINGSTON
T20220000326,-38.066837,144.35866,GREATER GEELONG
T20220000345,-36.746397,144.25467,GREATER BENDIGO
T20220000328,-37.755593,144.922982,MOONEE VALLEY
T20220000332,-37.810317,144.961359,MELBOURNE
T20220001261,-37.768418,144.864653,MOONEE VALLEY
T20220000344,-37.730751,144.963959,MERRI-BEK
T20220000336,-38.026822,145.310343,CASEY
T20220000342,-37.098716,143.838381,CENTRAL GOLDFIELDS
T20220001201,-37.21732,145.63811,MURRINDINDI
T20220000338,-37.822566,144.950155,MELBOURNE
T20220000339,-37.992823,145.215947,GREATER DANDENONG
T20220000415,-37.842922,144.852297,HOBSONS BAY
T20220000306,-37.847295,145.030873,STONNINGTON
T20220000307,-38.028469,145.268777,CASEY
T20220000311,-36.134565,144.751238,CAMPASPE
T20220000367,-37.823999,144.848622,HOBSONS BAY
T20220000366,-37.755302,144.920376,MOONEE VALLEY
T20220000365,-37.800248,145.328827,YARRA RANGES
T20220000361,-38.090586,145.499611,CARDINIA
T20220000878,-37.920987,144.642867,WYNDHAM
T20220000356,-38.168648,144.350543,GREATER GEELONG
T20220000312,-38.205778,145.163034,MORNINGTON PENINSULA
T20220000313,-38.357028,144.05643,SURF COAST
T20220000316,-37.892847,145.088177,STONNINGTON
T20220002343,-38.12621,145.137336,FRANKSTON
T20220000319,-38.149748,146.790132,WELLINGTON
T20220000586,-37.799464,144.955107,MELBOURNE
T20220001886,-37.795187,144.936715,MELBOURNE
T20220000411,-36.140332,146.897588,WODONGA
T20220000408,-38.228898,144.541287,GREATER GEELONG
T20220000425,-37.735895,144.982311,MERRI-BEK
T20220000407,-37.438067,143.738511,BALLARAT
T20220000668,-37.81443,144.970161,MELBOURNE
T20220000406,-37.930621,145.109281,KINGSTON
T20220001967,-37.896727,144.75391,WYNDHAM
T20220000682,-38.008428,145.087891,KINGSTON
T20220000858,-38.063321,145.507313,CARDINIA
T20220000607,-37.807357,144.90415,MARIBYRNONG
T20220000419,-37.578457,144.71011,HUME
T20220000379,-37.74094,144.962647,MERRI-BEK
T20220002744,-37.745005,144.965948,MERRI-BEK
T20220001842,-37.881161,145.049559,GLEN EIRA
T20220000436,-38.229496,145.044708,MORNINGTON PENINSULA
T20220005571,-38.085394,145.627866,CARDINIA
T20220005801,-37.846983,144.995002,STONNINGTON
T20220000603,-36.625399,144.345725,GREATER BENDIGO
T20220000400,-36.460295,145.995871,BENALLA
T20220000426,-37.69224,144.925592,HUME
T20220002264,-37.824506,145.174814,WHITEHORSE
T20220005758,-37.768964,144.924545,MOONEE VALLEY
T20220000390,-37.930994,145.432058,CARDINIA
T20220001087,-37.866849,144.820855,HOBSONS BAY
T20220000384,-38.337393,145.177197,MORNINGTON PENINSULA
T20220000397,-36.84117,144.35102,GREATER BENDIGO
T20220000394,-36.75371,144.288899,GREATER BENDIGO
T20220000386,-37.755251,145.233091,MANNINGHAM
T20220000395,-37.866033,145.410175,YARRA RANGES
T20220000512,-37.935257,145.173768,GREATER DANDENONG
T20220004010,-37.957694,145.147291,GREATER DANDENONG
T20220000514,-37.932353,145.155937,MONASH
T20220000387,-38.063588,145.931265,BAW BAW
T20220000424,-36.364208,146.317317,WANGARATTA
T20220000534,-38.144162,144.362182,GREATER GEELONG
T20220000422,-37.743242,144.735586,MELTON
T20220000711,-37.805134,145.049685,BOROONDARA
T20220000421,-38.466621,145.175325,BASS COAST
T20220000538,-37.887273,145.046129,GLEN EIRA
T20220000441,-38.326718,144.323674,SURF COAST
T20220000494,-37.88474,145.067442,GLEN EIRA
T20220000445,-37.986615,145.10925,KINGSTON
T20220000431,-37.734296,144.780864,BRIMBANK
T20220000434,-37.69749,144.95923,MERRI-BEK
T20220002356,-37.865674,145.298465,KNOX
T20220000439,-38.140986,145.85569,BAW BAW
T20220000466,-37.856841,145.116277,MONASH
T20220000448,-36.761715,144.261488,GREATER BENDIGO
T20220000619,-37.827805,144.841445,HOBSONS BAY
T20220000626,-37.864319,145.707148,YARRA RANGES
T20220000443,-37.766497,143.514927,GOLDEN PLAINS
T20220001314,-38.023433,145.315494,CASEY
T20220000455,-37.910839,145.274859,KNOX
T20220000467,-37.718466,145.141672,NILLUMBIK
T20220000468,-37.982439,145.146165,GREATER DANDENONG
T20220000444,-38.068946,144.315918,GREATER GEELONG
T20220000479,-37.293422,142.920519,ARARAT
T20220000990,-38.021852,146.374726,BAW BAW
T20220000459,-37.895957,145.076497,GLEN EIRA
T20220000477,-37.798723,144.968778,MELBOURNE
T20220000449,-37.721792,144.6093,MELTON
T20220001017,-37.80564,145.001198,BOROONDARA
T20220000461,-37.802386,144.943606,MELBOURNE
T20220000447,-37.578703,144.712517,HUME
T20220000475,-38.517949,145.321853,UNKNOWN
T20220000465,-37.909211,145.362588,YARRA RANGES
T20220000442,-37.602989,141.725368,SOUTHERN GRAMPIANS
T20220000596,-37.704146,144.938845,MERRI-BEK
T20220000713,-37.32078,145.046317,MITCHELL
T20220000781,-37.834577,144.971685,PORT PHILLIP
T20220000462,-37.630932,144.792556,HUME
T20220000363,-37.975493,145.015909,BAYSIDE
T20220001549,-37.77452,144.881232,MARIBYRNONG
T20220000505,-37.982855,145.064889,KINGSTON
T20220000560,-37.855156,145.071303,BOROONDARA
T20220000500,-38.132098,144.349927,GREATER GEELONG
T20220000516,-38.079994,145.25813,CASEY
T20220000506,-37.957164,143.34249,CORANGAMITE
T20220000503,-36.440805,145.388846,GREATER SHEPPARTON
T20220000501,-37.745612,144.811408,BRIMBANK
T20220000491,-37.775511,144.976246,MERRI-BEK
T20220000521,-37.743148,145.008119,DAREBIN
T20220000518,-37.354244,143.146192,ARARAT
T20220000487,-36.109987,146.86073,WODONGA
T20220002941,-38.084562,145.472485,CARDINIA
T20220026561,-37.208868,146.555391,MANSFIELD
T20220004537,-38.005243,146.019942,BAW BAW
T20220008858,-36.472122,146.756854,ALPINE
T20220000502,-38.121188,145.336771,CASEY
T20220000812,-37.862274,145.342232,YARRA RANGES
T20220000495,-38.151537,145.153016,FRANKSTON
T20220002277,-38.115149,145.298918,CASEY
T20220000536,-38.026066,145.306684,CASEY
T20220000530,-36.816163,144.116131,GREATER BENDIGO
T20220000547,-37.478545,143.791965,BALLARAT
T20220000660,-37.694223,144.76192,BRIMBANK
T20220001202,-36.365194,146.314875,WANGARATTA
T20220000542,-38.113035,145.282785,CASEY
T20220000552,-35.255299,141.318377,MILDURA
T20220000573,-37.223727,145.139889,MITCHELL
T20220000574,-37.889738,144.677974,WYNDHAM
T20220002478,-38.208742,145.472465,CARDINIA
T20220000604,-36.645811,145.431801,STRATHBOGIE
T20220000575,-37.858502,145.242131,KNOX
T20220001304,-37.824501,144.874427,MARIBYRNONG
T20220000582,-38.077835,145.240837,CASEY
T20220000564,-37.939219,145.197014,GREATER DANDENONG
T20220000563,-37.742227,144.974334,MERRI-BEK
T20220000553,-37.74542,144.809809,BRIMBANK
T20220000555,-37.782259,144.891219,MARIBYRNONG
T20220000571,-37.856207,145.026113,STONNINGTON
T20220000580,-37.864448,145.149877,MONASH
T20220000577,-38.058618,144.35824,GREATER GEELONG
