ACCIDENT_NO,LATITUDE,LONGITUDE
T20220000607,-37.807357,144.90415
T20220000419,-37.578457,144.71011
T20220000379,-37.74094,144.962647
T20220002744,-37.745005,144.965948
T20220001842,-37.881161,145.049559
T20220000436,-38.229496,145.044708
T20220005571,-38.085394,145.627866
T20220005801,-37.846983,144.995002
T20220000603,-36.625399,144.345725
T20220000400,-36.460295,145.995871
T20220000426,-37.69224,144.925592
T20220002264,-37.824506,145.174814
T20220005758,-37.768964,144.924545
T20220000390,-37.930994,145.432058
T20220001087,-37.866849,144.820855
T20220000384,-38.337393,145.177197
T20220000397,-36.84117,144.35102
T20220000394,-36.75371,144.288899
T20220000386,-37.755251,145.233091
T20220000395,-37.866033,145.410175
T20220000512,-37.935257,145.173768
T20220004010,-37.957694,145.147291
T20220000514,-37.932353,145.155937
T20220000387,-38.063588,145.931265
T20220000424,-36.364208,146.317317
T20220000534,-38.144162,144.362182
T20220000422,-37.743242,144.735586
T20220000711,-37.805134,145.049685
T20220000421,-38.466621,145.175325
T20220000538,-37.887273,145.046129
T20220000441,-38.326718,144.323674
T20220000494,-37.88474,145.067442
T20220000445,-37.986615,145.10925
T20220000431,-37.734296,144.780864
T20220000434,-37.69749,144.95923
T20220002356,-37.865674,145.298465
T20220000439,-38.140986,145.85569
T20220000466,-37.856841,145.116277
T20220000448,-36.761715,144.261488
T20220000619,-37.827805,144.841445
T20220000626,-37.864319,145.707148
T20220000443,-37.766497,143.514927
T20220001314,-38.023433,145.315494
T20220000455,-37.910839,145.274859
T20220000467,-37.718466,145.141672
T20220000468,-37.982439,145.146165
T20220000444,-38.068946,144.315918
T20220000479,-37.293422,142.920519
T20220000990,-38.021852,146.374726
T20220000459,-37.895957,145.076497
T20220000477,-37.798723,144.968778
T20220000449,-37.721792,144.6093
T20220001017,-37.80564,145.001198
T20220000461,-37.802386,144.943606
T20220000447,-37.578703,144.712517
T20220000475,-38.517949,145.321853
T20220000465,-37.909211,145.362588
T20220000442,-37.602989,141.725368
T20220000596,-37.704146,144.938845
T20220000713,-37.32078,145.046317
T20220000781,-37.834577,144.971685
T20220000462,-37.630932,144.792556
T20220000363,-37.975493,145.015909
T20220001549,-37.77452,144.881232
T20220000505,-37.982855,145.064889
T20220000560,-37.855156,145.071303
T20220000500,-38.132098,144.349927
T20220000516,-38.079994,145.25813
T20220000506,-37.957164,143.34249
T20220000503,-36.440805,145.388846
T20220000501,-37.745612,144.811408
T20220000491,-37.775511,144.976246
T20220000521,-37.743148,145.008119
T20220000518,-37.354244,143.146192
T20220000487,-36.109987,146.86073
T20220002941,-38.084562,145.472485
T20220026561,-37.208868,146.555391
T20220004537,-38.005243,146.019942
T20220008858,-36.472122,146.756854
T20220000502,-38.121188,145.336771
T20220000812,-37.862274,145.342232
T20220000495,-38.151537,145.153016
T20220002277,-38.115149,145.298918
T20220000536,-38.026066,145.306684
T20220000530,-36.816163,144.116131
T20220000547,-37.478545,143.791965
T20220000660,-37.694223,144.76192
T20220001202,-36.365194,146.314875
T20220000542,-38.113035,145.282785
T20220000552,-35.255299,141.318377
T20220000573,-37.223727,145.139889
T20220000574,-37.889738,144.677974
T20220002478,-38.208742,145.472465
T20220000604,-36.645811,145.431801
T20220000575,-37.858502,145.242131
T20220001304,-37.824501,144.874427
T20220000582,-38.077835,145.240837
T20220000564,-37.939219,145.197014
T20220000563,-37.742227,144.974334
T20220000553,-37.74542,144.809809
T20220000555,-37.782259,144.891219
T20220000571,-37.856207,145.026113
T20220000580,-37.864448,145.149877
T20220000577,-38.058618,144.35824
T20220000581,-37.396502,144.977793
T20220000588,-38.387319,144.888535
T20220001218,-37.785958,145.319571
T20220000925,-37.871992,144.98944
T20220000584,-38.513675,143.413561
T20220000541,-36.549458,145.983931
T20220000532,-37.564002,143.855882
T20220000550,-38.392863,142.791967
T20220000551,-36.743134,144.319376
T20220000662,-37.878331,145.079837
T20220000737,-38.09175,141.657112
T20220000624,-37.662793,144.43995
T20220000621,-37.65253,145.376271
T20220000718,-37.789653,145.309696
T20220000614,-36.76004,144.227707
T20220000606,-36.776286,144.289382
T20220000631,-37.806101,144.944745
T20220000636,-37.605304,143.887886
T20220000611,-37.692,144.92953
T20220000610,-37.597068,144.92379
T20220000602,-34.182491,142.148936
T20220000616,-37.790054,145.30875
T20220000592,-36.9852,145.142259
T20220000673,-38.188762,145.251484
T20220000667,-38.443632,143.980599
T20220000693,-37.876709,145.149486
T20220000717,-38.035429,145.106664
T20220000694,-38.05775,145.29012
T20220001016,-37.825498,144.941068
T20220000715,-37.658845,144.910065
T20220000669,-36.739024,142.117303
T20220000691,-37.904919,145.112128
T20220000684,-38.119559,145.125087
T20220000646,-37.595792,144.88115
T20220001120,-37.89223,145.193896
T20220000703,-37.845511,144.978926
T20220000677,-37.71703,145.125248
T20220000678,-37.606556,144.928587
T20220000666,-37.787459,144.921309
T20220000799,-37.734303,144.780997
T20220000704,-37.959593,144.685529
T20220000681,-37.795853,144.904137
T20220000705,-37.9655,145.205199
T20220000917,-38.109372,145.252399
T20220000707,-37.867346,144.734534
T20220000671,-37.892789,143.364041
T20220000699,-37.810359,145.151708
T20220000680,-37.972806,145.115925
T20220004642,-36.761424,144.283385
T20220000651,-38.184174,144.470812
T20220000696,-37.811822,145.00041
T20220000670,-37.859726,144.98387
T20220000748,-38.392333,143.270683
T20220002872,-37.539556,143.831425
T20220000753,-38.264241,143.905768
T20220000719,-37.752297,145.076397
T20220000720,-37.868478,145.031261
T20220000722,-37.834865,145.195209
T20220000725,-37.750407,145.168884
T20220000727,-37.752322,145.307087
T20220000734,-37.904307,147.697974
T20220000735,-38.206094,146.166229
T20220000738,-36.532591,145.498295
T20220000746,-37.936673,145.491516
T20220000747,-37.716225,144.828425
T20220000751,-35.068263,142.349589
T20220000752,-37.876764,145.21535
T20220000793,-37.79012,144.937584
T20220000754,-36.30936,146.615268
T20220000755,-38.026044,145.250341
T20220000762,-36.13946,146.948699
T20220000764,-38.271506,145.070904
T20220002752,-38.637329,145.60396
T20220001447,-38.04665,145.11325
T20220019095,-38.379258,144.796616
T20220003209,-38.15837,145.135209
T20220001522,-37.996872,145.21874
T20220000724,-37.606259,143.930833
T20220003339,-37.961557,145.361345
T20220002472,-38.211089,144.310574
T20220007090,-37.751499,144.964823
T20220000765,-37.945212,145.479181
T20220000767,-38.213663,145.109199
T20220000768,-37.835054,145.172627
T20220000769,-37.68949,144.749454
T20220000772,-37.826996,144.817865
T20220000823,-37.951776,144.688004
T20220000779,-38.225323,146.464703
T20220000773,-37.844771,144.651361
T20220000844,-37.711175,144.888657
T20220000831,-37.691796,144.981607
T20220001267,-37.817955,145.217419
T20220000806,-37.828994,144.848623
T20220000864,-37.570955,143.819968
T20220000790,-37.655162,145.021484
T20220000802,-37.859872,144.747732
T20220000796,-38.210086,146.151891
T20220000817,-36.759549,144.295381
T20220000815,-37.935264,145.959927
T20220000832,-37.844752,145.003878
T20220000839,-38.068971,145.170295
T20220000783,-37.758342,145.1234
T20220000770,-38.190987,142.781185
T20220006009,-37.764039,144.960349
T20220000967,-37.733312,144.958038
T20220005209,-38.152966,145.894113
T20220000807,-38.131511,144.344739
T20220000788,-37.657465,144.926403
T20220000776,-37.919884,145.135759
T20220000850,-38.075205,144.360059
T20220000838,-36.629062,144.531497
T20220000794,-38.102178,145.140971
T20220000837,-37.7793,144.77881
T20220000834,-38.069428,145.411527
T20220000923,-37.945875,145.139582
T20220001237,-37.697835,145.058832
T20220000833,-37.932838,145.440775
T20220000845,-37.705804,145.003326
T20220000827,-37.583887,143.834612
T20220000848,-37.810006,145.371164
T20220001115,-38.171,144.345655
T20220001114,-37.498089,148.18824
T20220000824,-37.808169,145.192664
T20220000791,-36.414108,145.22263
T20220000795,-38.181001,144.388331
T20220001215,-37.351487,145.105367
T20220001048,-37.921831,145.185944
T20220000861,-38.223828,145.182735
T20220001475,-37.811126,145.006284
T20220000909,-38.209153,144.509461
T20220000904,-37.876276,144.714835
T20220000863,-37.884207,144.668092
T20220000951,-38.084227,145.432982
T20220000895,-38.166647,145.936579
T20220000891,-38.285618,142.310558
T20220000880,-38.07188,145.27001
T20220000930,-37.744233,144.799942
T20220000875,-37.87262,144.813117
T20220000888,-36.705833,144.250276
T20220000866,-38.342003,144.960022
T20220000857,-37.797207,145.126785
T20220000896,-37.82313,145.035255
T20220000964,-38.088049,145.164637
T20220000884,-38.182302,144.541209
T20220000977,-38.461704,145.837442
T20220001246,-37.669373,144.941786
T20220001505,-37.623596,146.15295
T20220005234,-36.755246,144.274076
T20220000883,-37.600029,144.909626
T20220000957,-38.338485,142.403592
T20220000970,-38.118923,145.136549
T20220000980,-37.786696,145.63692
T20220014997,-37.72126,147.610214
T20220000999,-37.948489,145.192027
T20220000920,-37.964646,145.012218
T20220001040,-37.722013,144.867067
T20220001036,-38.271815,145.547606
T20220000921,-38.076226,144.347409
T20220000922,-37.44979,145.109436
T20220000924,-37.945293,145.027709
T20220000926,-37.982258,146.416289
T20220000927,-36.156783,145.86541
T20220000919,-37.75783,145.014535
T20220000918,-37.638763,143.731622
T20220000937,-38.364739,144.796241
T20220000929,-37.64159,144.93653
T20220000912,-36.556095,145.970741
T20220000911,-37.8738,145.387555
T20220000903,-37.615959,145.017634
T20220000902,-37.804728,144.964734
T20220000934,-38.349402,143.402422
T20220001532,-38.068903,145.298459
