ACCIDENT_NO,LATITUDE,LONGITUDE
T20220022204,-37.805505,144.948655
T20220022248,-38.144801,145.413958
T20220022270,-37.826221,147.623894
T20220025129,-37.929289,145.156747
T20220022373,-38.218682,145.05901
T20220022970,-37.018044,144.040994
T20220022269,-37.951819,146.393447
T20220022294,-37.796597,144.975111
T20220022295,-37.829795,144.955563
T20220026336,-38.152709,144.355402
T20220022236,-37.926873,145.248365
T20220022235,-37.989897,145.204701
T20220022231,-38.058837,145.403002
T20220022223,-36.148751,144.766209
T20220022884,-36.762069,144.272129
T20220022279,-38.301908,145.167921
T20220022211,-38.007073,144.220829
T20220022356,-37.689348,144.557606
T20220022359,-37.803708,144.955525
T20220022360,-37.966617,145.243444
T20220022540,-37.699581,144.790981
T20220022362,-37.847177,145.136153
T20220022365,-37.58656,145.128413
T20220022366,-37.80822,145.132648
T20220022377,-37.809662,144.934964
T20220022382,-38.144497,145.126277
T20220023193,-37.988482,145.226773
T20220022383,-37.851775,145.008045
T20220023119,-37.844721,145.039081
T20220022403,-37.8905,145.088674
T20220022952,-37.811601,145.011427
T20220022421,-37.830607,144.899827
T20220023062,-38.288395,145.206429
T20220022317,-37.815252,144.985383
T20220022328,-37.711134,144.881651
T20220022297,-37.7541,144.994627
T20220023047,-37.846009,144.800012
T20220022329,-38.117371,145.31632
T20220022332,-37.847179,144.80963
T20220022334,-37.787779,144.940472
T20220022335,-36.75234,145.318164
T20220022336,-37.925431,147.417596
T20220022338,-37.713535,144.917342
T20220022353,-38.340985,143.584374
T20220022355,-36.800302,144.23927
T20220022316,-37.592811,145.486763
T20220022458,-36.5787,145.82188
T20220022453,-37.848561,145.170442
T20220022452,-37.864704,144.996257
T20220022531,-38.200261,144.492838
T20220022402,-38.090188,145.501212
T20220022449,-37.743771,145.136457
T20220022448,-37.90108,145.142981
T20220022446,-37.809407,144.962334
T20220022442,-38.083777,144.357683
T20220022441,-37.829535,145.04095
T20220022440,-38.373959,142.460359
T20220022436,-36.711352,142.178579
T20220024123,-38.060802,145.343754
T20220022394,-37.893585,145.06579
T20220022416,-36.596087,144.921674
T20220022433,-37.780353,145.144801
T20220022429,-37.80114,144.951468
T20220022417,-38.036308,145.247227
T20220022426,-37.601653,145.104736
T20220022418,-37.72647,144.855731
T20220022401,-37.911115,145.236231
T20220022468,-37.728307,145.068191
T20220022419,-37.668116,145.178707
T20230000273,-37.68582,144.924292
T20220022420,-36.753893,144.292535
T20220022469,-37.831184,144.812559
T20220022783,-37.61895,145.068946
T20220022471,-37.816744,144.967109
T20220022410,-38.027353,145.135209
T20220022465,-37.841405,144.934476
T20220022464,-37.832112,144.811849
T20220022463,-37.87954,145.163944
T20220022413,-37.561547,143.872943
T20220022592,-37.663704,144.922222
T20220022461,-37.771738,144.916178
T20220022400,-37.980712,145.240752
T20220024086,-35.921297,144.326419
T20220023218,-37.878239,145.156697
T20220022474,-36.124988,144.752262
T20220022579,-37.894919,145.130037
T20220022460,-37.686819,145.025456
T20220022878,-38.091652,144.137686
T20220022473,-37.68785,144.95805
T20220022568,-38.284646,145.069861
T20220022508,-37.915796,145.017355
T20220022511,-37.720729,145.113473
T20220022512,-38.042596,145.252293
T20220022534,-38.355149,144.751968
T20220022565,-37.77773,145.292143
T20220022513,-37.974014,145.248634
T20220022677,-37.925956,145.038107
T20220022567,-38.596002,146.104967
T20220023008,-37.620843,145.029169
T20220025382,-37.732912,144.95378
T20220022535,-38.665748,146.314211
T20220022514,-38.157976,145.871177
T20220022538,-38.078151,145.428663
T20220022516,-38.00313,145.247055
T20220022549,-37.776407,144.922357
T20220022971,-37.75122,145.001827
T20220022552,-38.057938,145.39751
T20220022558,-37.922073,145.186176
T20220022555,-37.625296,145.010059
T20220022583,-38.193563,144.342685
T20220022488,-37.701949,145.090362
T20220022489,-36.364683,145.461965
T20220022526,-37.722544,144.739079
T20220022771,-38.382907,142.490305
T20220022490,-38.168857,145.221945
T20220022530,-38.002948,145.207973
T20220022492,-37.810148,144.996571
T20220023926,-36.762708,144.279687
T20220022775,-37.695128,144.566194
T20230018700,-37.638644,145.037688
T20220022494,-37.8168,144.999497
T20220022496,-37.88698,145.288179
T20220022557,-37.892641,144.68333
T20220022910,-37.778349,145.063271
T20220025306,-37.583734,144.753507
T20220025833,-37.825428,144.969292
T20220022561,-37.810539,144.99121
T20220024280,-37.893306,145.089871
T20220022614,-37.757158,144.891326
T20220027666,-37.819041,145.003789
T20220025682,-37.819615,144.693602
T20220022649,-38.150747,144.36481
T20220022532,-37.283404,142.927653
T20220022499,-37.873102,145.232807
T20220022506,-37.798675,144.967288
